body,direction,queue_depth,iaa_agg_MBps,cpu_frac,iaa_ratio,sw_single_MBps,effective_cores
ingress-6-517074b.bin,compress,1,969.5,1.000,0.3151,138.6,7.00
ingress-6-517074b.bin,compress,2,1936.4,1.000,0.3151,138.6,13.97
ingress-6-517074b.bin,compress,4,3823.8,1.000,0.3151,138.6,27.59
ingress-6-517074b.bin,compress,8,7663.0,1.000,0.3151,138.6,55.30
ingress-6-517074b.bin,compress,16,7825.9,1.000,0.3151,138.6,56.47
ingress-6-517074b.bin,decompress,1,2588.0,1.000,0.3151,874.0,2.96
ingress-6-517074b.bin,decompress,2,5163.0,1.000,0.3151,874.0,5.91
ingress-6-517074b.bin,decompress,4,10181.2,1.000,0.3151,874.0,11.65
ingress-6-517074b.bin,decompress,8,20186.6,1.000,0.3151,874.0,23.10
ingress-6-517074b.bin,decompress,16,39783.7,1.000,0.3151,874.0,45.52
egress-3-77366b.bin,compress,1,851.0,1.000,0.3112,117.5,7.24
egress-3-77366b.bin,compress,2,1657.6,1.000,0.3112,117.5,14.10
egress-3-77366b.bin,compress,4,2618.8,1.000,0.3112,117.5,22.28
egress-3-77366b.bin,compress,8,6457.4,1.000,0.3112,117.5,54.94
egress-3-77366b.bin,compress,16,7555.6,1.000,0.3112,117.5,64.28
egress-3-77366b.bin,decompress,1,2278.0,1.000,0.3112,776.3,2.93
egress-3-77366b.bin,decompress,2,4604.8,1.000,0.3112,776.3,5.93
egress-3-77366b.bin,decompress,4,8501.0,1.000,0.3112,776.3,10.95
egress-3-77366b.bin,decompress,8,17164.4,1.000,0.3112,776.3,22.11
egress-3-77366b.bin,decompress,16,34129.2,1.000,0.3112,776.3,43.96
ingress-3-77388b.bin,compress,1,854.4,1.000,0.3144,117.2,7.29
ingress-3-77388b.bin,compress,2,1661.5,1.000,0.3144,117.2,14.17
ingress-3-77388b.bin,compress,4,2547.2,1.000,0.3144,117.2,21.73
ingress-3-77388b.bin,compress,8,6429.8,0.999,0.3144,117.2,54.85
ingress-3-77388b.bin,compress,16,7557.0,1.000,0.3144,117.2,64.47
ingress-3-77388b.bin,decompress,1,2299.6,1.000,0.3144,780.4,2.95
ingress-3-77388b.bin,decompress,2,4648.7,1.000,0.3144,780.4,5.96
ingress-3-77388b.bin,decompress,4,8569.2,1.000,0.3144,780.4,10.98
ingress-3-77388b.bin,decompress,8,17319.4,1.000,0.3144,780.4,22.19
ingress-3-77388b.bin,decompress,16,34403.8,1.000,0.3144,780.4,44.08
ingress-2-12575b.bin,compress,1,497.2,0.999,0.3193,157.9,3.15
ingress-2-12575b.bin,compress,2,907.5,1.000,0.3193,157.9,5.75
ingress-2-12575b.bin,compress,4,1431.2,1.000,0.3193,157.9,9.06
ingress-2-12575b.bin,compress,8,2841.3,1.000,0.3193,157.9,17.99
ingress-2-12575b.bin,compress,16,2848.0,1.000,0.3193,157.9,18.04
ingress-2-12575b.bin,decompress,1,1220.8,1.000,0.3193,685.6,1.78
ingress-2-12575b.bin,decompress,2,2180.5,1.000,0.3193,685.6,3.18
ingress-2-12575b.bin,decompress,4,3884.9,1.000,0.3193,685.6,5.67
ingress-2-12575b.bin,decompress,8,5689.8,1.000,0.3193,685.6,8.30
ingress-2-12575b.bin,decompress,16,5720.5,1.000,0.3193,685.6,8.34
egress-6-280108b.bin,compress,1,953.8,1.000,0.3004,150.4,6.34
egress-6-280108b.bin,compress,2,1906.1,1.000,0.3004,150.4,12.67
egress-6-280108b.bin,compress,4,3626.0,1.000,0.3004,150.4,24.11
egress-6-280108b.bin,compress,8,7455.1,1.000,0.3004,150.4,49.56
egress-6-280108b.bin,compress,16,7824.8,1.000,0.3004,150.4,52.02
egress-6-280108b.bin,decompress,1,2411.7,1.000,0.3004,781.1,3.09
egress-6-280108b.bin,decompress,2,4838.8,1.000,0.3004,781.1,6.19
egress-6-280108b.bin,decompress,4,9442.4,1.000,0.3004,781.1,12.09
egress-6-280108b.bin,decompress,8,18823.3,1.000,0.3004,781.1,24.10
egress-6-280108b.bin,decompress,16,37411.2,1.000,0.3004,781.1,47.90
egress-1-3759b.bin,compress,1,357.3,1.000,0.3671,130.1,2.75
egress-1-3759b.bin,compress,2,641.3,1.000,0.3671,130.1,4.93
egress-1-3759b.bin,compress,4,977.8,1.000,0.3671,130.1,7.51
egress-1-3759b.bin,compress,8,1099.6,1.000,0.3671,130.1,8.45
egress-1-3759b.bin,compress,16,1111.4,1.000,0.3671,130.1,8.54
egress-1-3759b.bin,decompress,1,593.1,1.000,0.3671,588.0,1.01
egress-1-3759b.bin,decompress,2,953.7,1.000,0.3671,588.0,1.62
egress-1-3759b.bin,decompress,4,1100.6,1.000,0.3671,588.0,1.87
egress-1-3759b.bin,decompress,8,1105.7,1.000,0.3671,588.0,1.88
egress-1-3759b.bin,decompress,16,1106.9,1.000,0.3671,588.0,1.88
ingress-4-206903b.bin,compress,1,938.3,1.000,0.3288,127.5,7.36
ingress-4-206903b.bin,compress,2,1854.9,1.000,0.3288,127.5,14.55
ingress-4-206903b.bin,compress,4,3666.3,1.000,0.3288,127.5,28.76
ingress-4-206903b.bin,compress,8,7301.6,1.000,0.3288,127.5,57.28
ingress-4-206903b.bin,compress,16,7787.8,1.000,0.3288,127.5,61.09
ingress-4-206903b.bin,decompress,1,2518.0,1.000,0.3288,809.5,3.11
ingress-4-206903b.bin,decompress,2,5053.6,1.000,0.3288,809.5,6.24
ingress-4-206903b.bin,decompress,4,9767.7,1.000,0.3288,809.5,12.07
