direction,pool_gb,dur_s,queue_depth,iaa_GBps,cpu_frac,sw_GBps,effective_cores
compress,4.0,5.0,1,0.89,1.000,0.144,6.2
compress,4.0,5.0,8,5.49,1.000,0.144,38.2
compress,4.0,5.0,16,6.63,1.000,0.144,46.2
compress,4.0,5.0,32,7.18,1.000,0.144,50.1
decompress,4.0,5.0,1,2.48,1.000,0.813,3.0
decompress,4.0,5.0,8,13.96,1.000,0.813,17.2
decompress,4.0,5.0,16,25.10,1.000,0.813,30.9
decompress,4.0,5.0,32,37.60,1.000,0.813,46.2
direction,pool_gb,dur_s,queue_depth,iaa_GBps,cpu_frac,sw_GBps,effective_cores
compress,8.0,5.0,1,0.91,1.000,0.143,6.3
compress,8.0,5.0,8,5.47,1.000,0.143,38.3
compress,8.0,5.0,16,6.61,1.000,0.143,46.3
compress,8.0,5.0,32,7.21,1.000,0.143,50.5
decompress,8.0,5.0,1,2.47,1.000,0.813,3.0
decompress,8.0,5.0,8,13.95,1.000,0.813,17.2
decompress,8.0,5.0,16,24.22,1.000,0.813,29.8
decompress,8.0,5.0,32,37.42,1.000,0.813,46.0
direction,pool_gb,dur_s,queue_depth,iaa_GBps,cpu_frac,sw_GBps,effective_cores
compress,16.0,5.0,1,0.93,1.000,0.143,6.5
compress,16.0,5.0,8,5.37,1.000,0.143,37.6
compress,16.0,5.0,16,6.63,1.000,0.143,46.5
compress,16.0,5.0,32,7.21,1.000,0.143,50.5
decompress,16.0,5.0,1,2.38,1.000,0.810,2.9
decompress,16.0,5.0,8,13.90,1.000,0.810,17.2
decompress,16.0,5.0,16,24.34,1.000,0.810,30.0
decompress,16.0,5.0,32,37.47,1.000,0.810,46.2
direction,pool_gb,dur_s,queue_depth,iaa_GBps,cpu_frac,sw_GBps,effective_cores
compress,32.0,5.0,1,0.89,1.000,0.142,6.2
compress,32.0,5.0,8,5.36,1.000,0.142,37.7
compress,32.0,5.0,16,5.49,1.000,0.142,38.7
compress,32.0,5.0,32,5.78,1.000,0.142,40.7
decompress,32.0,5.0,1,2.35,1.000,0.804,2.9
decompress,32.0,5.0,8,13.90,1.000,0.804,17.3
decompress,32.0,5.0,16,24.37,1.000,0.804,30.3
decompress,32.0,5.0,32,37.38,1.000,0.804,46.5
